file_name,slice_num,ssim,psnr,nmse
file_brain_AXT2_200_2000078.h5,0,0.9075952299245588,32.62513732910156,0.012435686774551868
file_brain_AXT2_200_2000078.h5,1,0.9152150197895087,33.1588134765625,0.011117362417280674
file_brain_AXT2_200_2000078.h5,2,0.9165296101117296,33.109535217285156,0.009494855999946594
file_brain_AXT2_200_2000078.h5,3,0.9239104959394361,33.32135772705078,0.008419906720519066
file_brain_AXT2_200_2000078.h5,4,0.9318911470781023,33.98435974121094,0.0074721272103488445
file_brain_AXT2_200_2000078.h5,5,0.9389669026866649,34.47654724121094,0.006744340527802706
file_brain_AXT2_200_2000078.h5,6,0.938552288524629,34.26860046386719,0.006089599337428808
file_brain_AXT2_200_2000078.h5,7,0.9371337469590028,34.50224304199219,0.005753087345510721
file_brain_AXT2_200_2000078.h5,8,0.9376795721177223,34.400428771972656,0.005595861002802849
file_brain_AXT2_200_2000078.h5,9,0.9339580542255318,34.39104461669922,0.0059082526713609695
file_brain_AXT2_200_2000078.h5,10,0.9333847123221906,34.49114990234375,0.0058402130380272865
file_brain_AXT2_200_2000078.h5,11,0.9368834289841967,35.35637664794922,0.0050865956582129
file_brain_AXT2_200_2000078.h5,12,0.9352996226383135,35.51445770263672,0.005465053487569094
file_brain_AXT2_200_2000078.h5,13,0.9382389455206912,36.927642822265625,0.00718877837061882
file_brain_AXT2_200_2000078.h5,14,0.930971319045432,37.37263488769531,0.010251960717141628
file_brain_AXT2_200_2000078.h5,15,0.9408385881837034,39.673248291015625,0.011515256017446518
file_brain_AXT2_200_2000130.h5,0,0.9005048635264256,31.361183166503906,0.01176440715789795
file_brain_AXT2_200_2000130.h5,1,0.9077646005672403,31.56279754638672,0.01118790078908205
file_brain_AXT2_200_2000130.h5,2,0.9037296794979185,31.779876708984375,0.010169192217290401
file_brain_AXT2_200_2000130.h5,3,0.9109025199549636,32.845497131347656,0.008598068729043007
file_brain_AXT2_200_2000130.h5,4,0.9185191462080113,33.626319885253906,0.007655515801161528
file_brain_AXT2_200_2000130.h5,5,0.9346154259982464,35.09690856933594,0.007103580050170422
file_brain_AXT2_200_2000130.h5,6,0.9386517650233369,36.04045104980469,0.007067280821502209
file_brain_AXT2_200_2000130.h5,7,0.9373373741020544,36.47853088378906,0.007658607326447964
file_brain_AXT2_200_2000130.h5,8,0.9358779003223209,36.36285400390625,0.00848427414894104
file_brain_AXT2_200_2000130.h5,9,0.9390048692466288,37.02643585205078,0.008068413473665714
